id,name,rarity
acoustic-guitar,Acoustic Guitar,Legendary
adrenaline-shot,Adrenaline Shot,Common
advanced-arc-powercell,Advanced ARC Powercell,Rare
advanced-electrical-components,Advanced Electrical Components,Rare
advanced-mechanical-components,Advanced Mechanical Components,Rare
agave,Agave,Common
agave-juice,Agave Juice,Common
air-freshener,Air Freshener,Uncommon
alarm-clock,Alarm Clock,Rare
angled-grip-i,Angled Grip I,Common
angled-grip-ii,Angled Grip II,Uncommon
angled-grip-ii-recipe,Angled Grip II Blueprint,Legendary
angled-grip-iii,Angled Grip III,Rare
angled-grip-iii-recipe,Angled Grip III Blueprint,Legendary
antiseptic,Antiseptic,Rare
anvil-recipe,Anvil Blueprint,Legendary
anvil-i,Anvil I,Uncommon
anvil-ii,Anvil II,Uncommon
anvil-iii,Anvil III,Uncommon
anvil-iv,Anvil IV,Uncommon
anvil-splitter,Anvil Splitter,Legendary
aphelion-rifle,Aphelion Rifle,Legendary
aphelion-rifle-blueprint,Aphelion Rifle Blueprint,Legendary
apricot,Apricot,Common
arc-alloy,ARC Alloy,Uncommon
arc-circuitry,ARC Circuitry,Rare
arc-coolant,ARC Coolant,Rare
arc-flex-rubber,ARC Flex Rubber,Rare
arc-motion-core,ARC Motion Core,Rare
arc-performance-steel,ARC Performance Steel,Rare
arc-powercell,ARC Powercell,Common
arc-synthetic-resin,ARC Synthetic Resin,Rare
arc-thermo-lining,ARC Thermo Lining,Rare
arpeggio-i,Arpeggio I,Uncommon
arpeggio-ii,Arpeggio II,Uncommon
arpeggio-iii,Arpeggio III,Uncommon
arpeggio-iv,Arpeggio IV,Uncommon
assorted-seeds,Assorted Seeds,Common
aviator-outfit,Aviator (Outfit),Common
bag-radio-renegade-variant,Bag (Radio Renegade Variant),Common
banana-backpack-charm,Banana (Backpack Charm),Common
bandage,Bandage,Common
barricade-kit,Barricade Kit,Uncommon
barricade-kit-recipe,Barricade Kit Blueprint,Legendary
bastion-part,Bastion Cell,Epic
battery,Battery,Uncommon
bettina-blueprint,Bettina Blueprint,Legendary
bettina-i,Bettina I,Epic
bettina-ii,Bettina II,Epic
bettina-iii,Bettina III,Epic
bettina-iv,Bettina IV,Epic
bicycle-pump,Bicycle Pump,Rare
binoculars,Binoculars,Common
bison-driver,Bison Driver,Rare
black-eye-face-style,Black Eye (Face Style),Common
black-hiker-colour,Black (Hiker Colour),Common
black-and-white-origin-color,Black & White (Origin Color),Common
blaze-grenade,Blaze Grenade,Rare
blaze-grenade-blueprint,Blaze Grenade Blueprint,Legendary
blaze-grenade-trap,Blaze Grenade Trap,Rare
bloated-tuna-can,Bloated Tuna Can,Common
blue-gate-cellar-key,Blue Gate Cellar Key,Rare
blue-gate-communication-tower-key,Blue Gate Communication Tower Key,Rare
blue-gate-confiscation-room-key,Blue Gate Confiscation Room Key,Epic
blue-gate-village-key,Blue Gate Village Key,Rare
blue-light-stick,Blue Light Stick,Common
blue-light-stick-blueprint,Blue Light Stick Blueprint,Legendary
blue-radio-renegade-color,Blue (Radio Renegade Color),Common
blue-yellow-aviator-color,Blue Yellow (Aviator Color),Common
bobcat-i-recipe,Bobcat Blueprint,Legendary
bobcat-i,Bobcat I,Epic
bobcat-ii,Bobcat II,Epic
bobcat-iii,Bobcat III,Epic
bobcat-iv,Bobcat IV,Epic
bombardier-cell,Bombardier Cell,Epic
bow-and-arrow-emote,Bow and Arrow (Emote),Common
breathtaking-snow-globe,Breathtaking Snow Globe,Epic
briefcase-backpack-attachment,Briefcase (Backpack Attachment),Common
broken-flashlight,Broken Flashlight,Rare
broken-guidance-system,Broken Guidance System,Rare
broken-handcuffs,Broken Handcuffs,Uncommon
broken-handheld-radio,Broken Handheld Radio,Rare
broken-riot-shield,Broken Riot Shield,Rare
broken-taser,Broken Taser,Rare
burgerboy-backpack-charm,Burgerboy (Backpack Charm),Common
buried-city-hospital-key,Buried City Hospital Key,Rare
buried-city-jkv-employee-access-card,Buried City JKV Employee Access Card,Uncommon
buried-city-residential-master-key,Buried City Residential Master Key,Uncommon
buried-city-town-hall-key,Buried City Town Hall Key,Epic
burltetta-recipe,Burletta Blueprint,Legendary
burletta-i,Burletta I,Uncommon
burletta-ii,Burletta II,Uncommon
burletta-iiii,Burletta III,Uncommon
burletta-iv,Burletta IV,Uncommon
burned-arc-circuitry,Burned ARC Circuitry,Uncommon
burnt-out-candles,Burnt-Out Candles,Common
camera-lens,Camera Lens,Uncommon
candleberries,Candleberries,Rare
candle-holder,Candle Holder,Uncommon
canister,Canister,Uncommon
cans-backpack-attachment,Cans (Backpack Attachment),Common
cat-bed,Cat Bed,Uncommon
cheer-emote,Cheer (Emote),Common
chemicals,Chemicals,Common
coffee-pot,Coffee Pot,Common
combat-mk-1,Combat Mk. 1,Uncommon
